t	x	y
6,367	0,130	4,303E−2
6,400	0,127	4,294E−2
6,433	0,125	4,280E−2
6,467	0,118	4,183E−2
6,500	0,108	4,095E−2
6,533	0,102	4,009E−2
6,567	8,938E−2	3,937E−2
6,600	7,379E−2	3,745E−2
6,633	6,543E−2	3,703E−2
6,667	4,679E−2	3,624E−2
6,700	2,685E−2	3,531E−2
6,733	1,713E−2	3,480E−2
6,767	−4,085E−3	3,415E−2
6,800	−2,523E−2	3,411E−2
6,833	−3,602E−2	3,421E−2
6,867	−5,641E−2	3,472E−2
6,900	−7,690E−2	3,539E−2
6,933	−8,658E−2	3,625E−2
6,967	-0,105	3,731E−2
7,000	-0,122	3,894E−2
7,033	-0,129	3,942E−2
7,067	-0,143	4,124E−2
7,100	-0,155	4,291E−2
7,133	-0,160	4,354E−2
7,167	-0,168	4,432E−2
7,200	-0,172	4,513E−2
7,233	-0,174	4,558E−2
7,267	-0,175	4,557E−2
7,300	-0,173	4,535E−2
7,333	-0,171	4,474E−2
7,367	-0,165	4,362E−2
7,400	-0,156	4,277E−2
7,433	-0,150	4,176E−2
7,467	-0,139	4,087E−2
7,500	-0,125	3,886E−2
7,533	-0,117	3,856E−2
7,567	−9,974E−2	3,661E−2
7,600	−8,066E−2	3,575E−2
7,633	−7,133E−2	3,501E−2
7,667	−5,145E−2	3,401E−2
7,700	−3,080E−2	3,348E−2
7,733	−2,059E−2	3,364E−2
7,767	−3,092E−4	3,353E−2
7,800	1,944E−2	3,387E−2
7,833	2,888E−2	3,391E−2
7,867	4,732E−2	3,511E−2
7,900	6,431E−2	3,608E−2
7,933	7,197E−2	3,642E−2
7,967	8,633E−2	3,750E−2
8,000	9,831E−2	3,857E−2
8,033	0,104	3,976E−2
8,067	0,112	4,076E−2
8,100	0,118	4,120E−2
8,133	0,119	4,101E−2
8,167	0,121	4,203E−2
8,200	0,120	4,202E−2
8,233	0,118	4,211E−2
