t	x	y
4,240	0,114	3,338E−2
4,260	8,744E−2	3,035E−2
4,280	6,037E−2	2,802E−2
4,300	3,311E−2	2,659E−2
4,320	5,160E−3	2,555E−2
4,340	−2,274E−2	2,530E−2
4,360	−5,020E−2	2,551E−2
4,380	−7,805E−2	2,657E−2
4,400	-0,104	2,877E−2
4,420	-0,131	3,108E−2
4,440	-0,157	3,358E−2
4,460	-0,181	3,706E−2
4,480	-0,205	4,068E−2
4,500	-0,227	4,520E−2
4,520	-0,250	4,889E−2
4,540	-0,270	5,357E−2
4,560	-0,288	5,823E−2
4,580	-0,306	6,290E−2
4,600	-0,322	6,755E−2
4,620	-0,337	7,128E−2
4,640	-0,349	7,576E−2
4,660	-0,360	7,942E−2
4,680	-0,370	8,290E−2
4,700	-0,378	8,543E−2
4,720	-0,385	8,772E−2
4,740	-0,390	8,996E−2
4,760	-0,393	9,119E−2
4,780	-0,394	9,230E−2
4,800	-0,395	9,224E−2
4,820	-0,394	9,203E−2
4,840	-0,391	9,106E−2
4,860	-0,386	8,973E−2
4,880	-0,380	8,742E−2
4,900	-0,372	8,501E−2
4,920	-0,363	8,165E−2
4,940	-0,352	7,800E−2
4,960	-0,340	7,373E−2
4,980	-0,326	6,970E−2
5,000	-0,311	6,528E−2
5,020	-0,294	6,057E−2
5,040	-0,276	5,609E−2
5,060	-0,257	5,148E−2
5,080	-0,236	4,745E−2
5,100	-0,214	4,306E−2
5,120	-0,192	3,921E−2
5,140	-0,168	3,567E−2
5,160	-0,144	3,255E−2
5,180	-0,119	2,996E−2
5,200	−9,355E−2	2,777E−2
5,220	−6,756E−2	2,632E−2
5,240	−4,157E−2	2,532E−2
5,260	−1,512E−2	2,524E−2
5,280	1,094E−2	2,532E−2
5,300	3,696E−2	2,625E−2
5,320	6,255E−2	2,756E−2
5,340	8,751E−2	2,922E−2
5,360	0,112	3,157E−2
5,380	0,136	3,448E−2
5,400	0,158	3,738E−2
5,420	0,180	4,097E−2
5,440	0,200	4,443E−2
5,460	0,220	4,853E−2
5,480	0,238	5,230E−2
5,500	0,255	5,619E−2
5,520	0,271	6,023E−2
5,540	0,285	6,389E−2
5,560	0,297	6,746E−2
5,580	0,308	7,036E−2
5,600	0,318	7,328E−2
5,620	0,326	7,582E−2
5,640	0,332	7,783E−2
5,660	0,337	7,939E−2
5,680	0,340	8,054E−2
5,700	0,341	8,091E−2
5,720	0,341	8,085E−2
5,740	0,339	8,006E−2
5,760	0,335	7,877E−2
5,780	0,330	7,716E−2
5,800	0,324	7,480E−2
5,820	0,316	7,200E−2
5,840	0,305	6,917E−2
5,860	0,294	6,566E−2
5,880	0,282	6,190E−2
5,900	0,267	5,811E−2
5,920	0,253	5,476E−2
5,940	0,237	5,093E−2
5,960	0,220	4,744E−2
5,980	0,201	4,404E−2
6,000	0,181	4,052E−2
6,020	0,160	3,714E−2
6,040	0,139	3,450E−2
6,060	0,116	3,130E−2
6,080	9,257E−2	2,895E−2
6,100	6,884E−2	2,744E−2
6,120	4,436E−2	2,627E−2
6,140	1,950E−2	2,529E−2
6,160	−5,363E−3	2,521E−2
6,180	−3,027E−2	2,540E−2
6,200	−5,493E−2	2,635E−2
6,220	−7,964E−2	2,762E−2
6,240	-0,104	2,906E−2
6,260	-0,128	3,118E−2
6,280	-0,151	3,378E−2
6,300	-0,174	3,709E−2
6,320	-0,195	4,048E−2
6,340	-0,216	4,417E−2
6,360	-0,236	4,777E−2
6,380	-0,254	5,214E−2
6,400	-0,272	5,590E−2
6,420	-0,287	6,045E−2
6,440	-0,303	6,406E−2
6,460	-0,316	6,767E−2
6,480	-0,327	7,119E−2
6,500	-0,338	7,457E−2
6,520	-0,347	7,707E−2
6,540	-0,355	7,937E−2
6,560	-0,361	8,161E−2
6,580	-0,366	8,292E−2
6,600	-0,369	8,411E−2
6,620	-0,371	8,423E−2
6,640	-0,371	8,423E−2
6,660	-0,369	8,392E−2
6,680	-0,366	8,293E−2
6,700	-0,362	8,164E−2
6,720	-0,356	7,943E−2
6,740	-0,348	7,685E−2
6,760	-0,339	7,438E−2
6,780	-0,329	7,112E−2
6,800	-0,317	6,760E−2
